"0008-0070-MANUFACTURER","0018-0050-SLICETHICKNESS","0018-0060-KVP","0018-1120-GANTRYDETECTORTILT","0018-1151-XRAYTUBECURRENT","0018-1152-EXPOSURE","0018-1160-FILTERTYPE","0018-1170-GENERATORPOWER","0018-1210-CONVOLUTIONKERNEL","0018-5100-PATIENTPOSITION","0020-0032-IMAGEPOSITIONPATIENT","0020-1041-SLICELOCATION","0028-0030-PIXELSPACING"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -621.7","-621.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -619.2","-619.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -616.7","-616.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -614.2","-614.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -611.7","-611.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -609.2","-609.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -606.7","-606.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -604.2","-604.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -601.7","-601.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -599.2","-599.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -596.7","-596.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","134","382","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -594.2","-594.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","134","382","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -591.7","-591.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","134","382","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -589.2","-589.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -586.7","-586.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -584.2","-584.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -581.7","-581.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -579.2","-579.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -576.7","-576.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -574.2","-574.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -571.7","-571.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -569.2","-569.2","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -566.7","-566.7","0.44921875 0.44921875"
"SIEMENS","5","120","0","135","385","FLAT","16","J40s","HFS","-114.775390625 -322.775390625 -564.2","-564.2","0.44921875 0.44921875"
