"0008-0070-MANUFACTURER","0018-0050-SLICETHICKNESS","0020-0032-IMAGEPOSITIONPATIENT","0020-1041-SLICELOCATION","0028-0030-PIXELSPACING"
"OsiriX","5","-114.7754 -322.7754 -621.7","-621.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -619.2","-619.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -616.7","-616.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -614.2","-614.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -611.7","-611.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -609.2","-609.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -606.7","-606.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -604.2","-604.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -601.7","-601.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -599.2","-599.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -596.7","-596.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -594.2","-594.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -591.7","-591.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -589.2","-589.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -586.7","-586.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -584.2","-584.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -581.7","-581.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -579.2","-579.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -576.7","-576.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -574.2","-574.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -571.7","-571.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -569.2","-569.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -566.7","-566.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -564.2","-564.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -561.7","-561.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -559.2","-559.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -556.7","-556.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -554.2","-554.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -551.7","-551.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -549.2","-549.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -546.7","-546.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -544.2","-544.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -541.7","-541.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -539.2","-539.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -536.7","-536.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -534.2","-534.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -531.7","-531.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -529.2","-529.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -526.7","-526.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -524.2","-524.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -521.7","-521.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -519.2","-519.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -516.7","-516.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -514.2","-514.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -511.7","-511.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -509.2","-509.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -506.7","-506.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -504.2","-504.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -501.7","-501.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -499.2","-499.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -496.7","-496.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -494.2","-494.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -491.7","-491.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -489.2","-489.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -486.7","-486.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -484.2","-484.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -481.7","-481.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -479.2","-479.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -476.7","-476.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -474.2","-474.2","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -471.7","-471.7","0.4492188 0.4492188"
"OsiriX","5","-114.7754 -322.7754 -469.2","-469.2","0.4492188 0.4492188"
