"0008-0070-MANUFACTURER","0018-0050-SLICETHICKNESS","0018-0060-KVP","0018-1120-GANTRYDETECTORTILT","0018-1151-XRAYTUBECURRENT","0018-1152-EXPOSURE","0018-1160-FILTERTYPE","0018-1170-GENERATORPOWER","0018-1210-CONVOLUTIONKERNEL","0018-5100-PATIENTPOSITION","0020-0032-IMAGEPOSITIONPATIENT","0020-1041-SLICELOCATION","0028-0030-PIXELSPACING"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -621.700012","-621.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -619.200012","-619.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -616.700012","-616.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -614.200012","-614.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -611.700012","-611.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -609.200012","-609.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -606.700012","-606.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -604.200012","-604.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -601.700012","-601.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -599.200012","-599.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -596.700012","-596.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","134","382","FLAT","16","J40s","HFS","-114.775391 -322.775391 -594.200012","-594.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","134","382","FLAT","16","J40s","HFS","-114.775391 -322.775391 -591.700012","-591.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","134","382","FLAT","16","J40s","HFS","-114.775391 -322.775391 -589.200012","-589.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -586.700012","-586.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -584.200012","-584.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -581.700012","-581.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -579.200012","-579.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -576.700012","-576.700012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -574.200012","-574.200012","0.449219 0.449219"
"SIEMENS","5.000000","120","0","135","385","FLAT","16","J40s","HFS","-114.775391 -322.775391 -571.700012","-571.700012","0.449219 0.449219"
